location_id,zone_name,borough,total_trips,avg_trips_per_hour,data_points,zone_type
69,East Concourse/Concourse Village,Bronx,11528.0,2.637382749942805,4371,MEDIUM_DATA
70,East Elmhurst,Queens,92396.0,17.778718491437367,5197,HIGH_DATA
71,East Flatbush/Farragut,Brooklyn,17628.0,3.6466694249069094,4834,MEDIUM_DATA
72,East Flatbush/Remsen Village,Brooklyn,20079.0,4.056363636363637,4950,MEDIUM_DATA
73,East Flushing,Queens,1269.0,1.206273764258555,1052,LOW_DATA
74,East Harlem North,Manhattan,120823.0,21.023664520619455,5747,HIGH_DATA
75,East Harlem South,Manhattan,226743.0,39.11385199240987,5797,HIGH_DATA
76,East New York,Brooklyn,38097.0,6.875473741201949,5541,HIGH_DATA
77,East New York/Pennsylvania Avenue,Brooklyn,9960.0,2.4358033749082906,4089,MEDIUM_DATA
78,East Tremont,Bronx,6975.0,1.9826606026151223,3518,MEDIUM_DATA
79,East Village,Manhattan,790317.0,135.53712913736922,5831,HIGH_DATA
80,East Williamsburg,Brooklyn,40467.0,7.825759040804487,5171,HIGH_DATA
81,Eastchester,Bronx,4687.0,1.7049836304110586,2749,MEDIUM_DATA
82,Elmhurst,Queens,24743.0,4.624859813084112,5350,MEDIUM_DATA
83,Elmhurst/Maspeth,Queens,9461.0,2.306998293099244,4101,MEDIUM_DATA
84,Eltingville/Annadale/Prince's Bay,Staten Island,17.0,1.1333333333333333,15,LOW_DATA
85,Erasmus,Brooklyn,13075.0,2.8736263736263736,4550,MEDIUM_DATA
86,Far Rockaway,Queens,5491.0,1.7967931937172774,3056,MEDIUM_DATA
87,Financial District North,Manhattan,216911.0,38.20200774920747,5678,HIGH_DATA
88,Financial District South,Manhattan,107803.0,19.959822255137937,5401,HIGH_DATA
89,Flatbush/Ditmas Park,Brooklyn,31102.0,5.867194868892661,5301,HIGH_DATA
90,Flatiron,Manhattan,480692.0,82.47975291695265,5828,HIGH_DATA
91,Flatlands,Brooklyn,17697.0,3.723332632021881,4753,MEDIUM_DATA
92,Flushing,Queens,10345.0,2.698226395409494,3834,MEDIUM_DATA
93,Flushing Meadows-Corona Park,Queens,19600.0,6.373983739837398,3075,MEDIUM_DATA
94,Fordham South,Bronx,3311.0,1.4308556611927399,2314,MEDIUM_DATA
95,Forest Hills,Queens,21536.0,4.2594936708860756,5056,MEDIUM_DATA
96,Forest Park/Highland Park,Queens,724.0,1.1365777080062793,637,LOW_DATA
97,Fort Greene,Brooklyn,40432.0,7.680851063829787,5264,HIGH_DATA
98,Fresh Meadows,Queens,1988.0,1.251889168765743,1588,LOW_DATA
99,Freshkills Park,Staten Island,6.0,1.2,5,LOW_DATA
100,Garment District,Manhattan,447465.0,76.75214408233276,5830,HIGH_DATA
101,Glen Oaks,Queens,2245.0,1.3548581774290887,1657,LOW_DATA
102,Glendale,Queens,5606.0,1.7796825396825398,3150,MEDIUM_DATA
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,0.0,0.0,0,LOW_DATA
104,Governor's Island/Ellis Island/Liberty Island,Manhattan,0.0,0.0,0,LOW_DATA
105,Governor's Island/Ellis Island/Liberty Island,Manhattan,2.0,1.0,2,LOW_DATA
106,Gowanus,Brooklyn,9367.0,2.450170023541721,3823,MEDIUM_DATA
107,Gramercy,Manhattan,594070.0,101.89879931389365,5830,HIGH_DATA
108,Gravesend,Brooklyn,3274.0,1.4881818181818183,2200,MEDIUM_DATA
109,Great Kills,Staten Island,50.0,1.0638297872340425,47,LOW_DATA
110,Great Kills Park,Staten Island,0.0,0.0,0,LOW_DATA
111,Green-Wood Cemetery,Brooklyn,112.0,1.0666666666666667,105,LOW_DATA
112,Greenpoint,Brooklyn,43045.0,8.359875704020197,5149,HIGH_DATA
113,Greenwich Village North,Manhattan,440010.0,76.17901662049861,5776,HIGH_DATA
114,Greenwich Village South,Manhattan,463532.0,79.69944979367263,5816,HIGH_DATA
115,Grymes Hill/Clifton,Staten Island,238.0,1.096774193548387,217,LOW_DATA
116,Hamilton Heights,Manhattan,57674.0,10.34325681492109,5576,HIGH_DATA
117,Hammels/Arverne,Queens,5242.0,1.859524654132671,2819,MEDIUM_DATA
118,Heartland Village/Todt Hill,Staten Island,199.0,1.0756756756756756,185,LOW_DATA
119,Highbridge,Bronx,6590.0,1.9915382290722272,3309,MEDIUM_DATA
120,Highbridge Park,Manhattan,602.0,1.1379962192816635,529,LOW_DATA
121,Hillcrest/Pomonok,Queens,5218.0,1.7306799336650083,3015,MEDIUM_DATA
122,Hollis,Queens,3445.0,1.5525011266336188,2219,MEDIUM_DATA
123,Homecrest,Brooklyn,5345.0,1.8174090445426725,2941,MEDIUM_DATA
124,Howard Beach,Queens,4532.0,1.6082327892122072,2818,MEDIUM_DATA
125,Hudson Sq,Manhattan,162257.0,28.416287215411558,5710,HIGH_DATA
126,Hunts Point,Bronx,5647.0,1.7791430371770636,3174,MEDIUM_DATA
127,Inwood,Manhattan,11578.0,2.791897757414999,4147,MEDIUM_DATA
128,Inwood Hill Park,Manhattan,891.0,1.1816976127320955,754,LOW_DATA
129,Jackson Heights,Queens,36712.0,6.498849353867941,5649,HIGH_DATA
130,Jamaica,Queens,38838.0,6.951494540898515,5587,HIGH_DATA
131,Jamaica Estates,Queens,5428.0,1.7726975832789027,3062,MEDIUM_DATA
132,JFK Airport,Queens,1351013.0,231.7744038428547,5829,HIGH_DATA
133,Kensington,Brooklyn,7940.0,2.1476873140384094,3697,MEDIUM_DATA
134,Kew Gardens,Queens,9600.0,2.350061199510404,4085,MEDIUM_DATA
135,Kew Gardens Hills,Queens,4564.0,1.6132909155178508,2829,MEDIUM_DATA
136,Kingsbridge Heights,Bronx,4217.0,1.5723340790454885,2682,MEDIUM_DATA
